Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
2017-01-01 13:27:37,2017-01-01 13:36:51,554,State St & Randolph St,Clinton St & Jackson Blvd,Subscriber,Female,1991.0
2017-01-01 13:27:59,2017-01-01 13:41:21,802,Lakefront Trail & Bryn Mawr Ave,Montrose Harbor,Subscriber,Female,1988.0
2017-01-01 13:28:27,2017-01-01 13:41:21,774,Lakefront Trail & Bryn Mawr Ave,Montrose Harbor,Subscriber,Male,1986.0
2017-01-01 13:28:31,2017-01-01 13:53:18,1487,Buckingham Fountain,Field Blvd & South Water St,Customer,,
2017-01-01 13:28:34,2017-01-01 13:32:32,238,Seeley Ave & Roscoe St,Lincoln Ave & Roscoe St,Subscriber,Male,1988.0
2017-01-01 13:28:45,2017-01-01 13:43:29,884,LaSalle St & Illinois St,Damen Ave & Grand Ave,Subscriber,Male,1969.0
2017-01-01 13:29:27,2017-01-01 13:53:24,1437,Buckingham Fountain,Field Blvd & South Water St,Customer,,
2017-01-01 13:29:37,2017-01-01 13:40:23,646,Larrabee St & Division St,St. Clair St & Erie St,Subscriber,Male,1987.0
2017-01-01 13:30:47,2017-01-01 13:44:58,851,Lake Shore Dr & Monroe St,Calumet Ave & 18th St,Subscriber,Female,1986.0
2017-01-01 13:31:14,2017-01-01 13:40:31,557,Halsted St & 21st St,Racine Ave & 18th St,Subscriber,Male,1989.0
2017-01-01 13:31:17,2017-01-01 13:40:31,554,Halsted St & 21st St,Racine Ave & 18th St,Subscriber,Female,1994.0
2017-01-01 13:31:20,2017-01-01 13:39:51,511,Racine Ave & Fullerton Ave,Sheffield Ave & Kingsbury St,Subscriber,Male,1987.0
2017-01-01 13:31:29,2017-01-01 13:40:23,534,McClurg Ct & Illinois St,Sedgwick St & Huron St,Subscriber,Male,1972.0
2017-01-01 13:32:12,2017-01-01 16:27:00,10488,Rush St & Superior St,Rush St & Cedar St,Customer,,
2017-01-01 13:32:38,2017-01-01 13:43:43,665,Wentworth Ave & Archer Ave,Wabash Ave & Roosevelt Rd,Subscriber,Male,1949.0
2017-01-01 13:32:42,2017-01-01 13:37:08,266,Seeley Ave & Roscoe St,Damen Ave & Wellington Ave,Subscriber,Female,1966.0
2017-01-01 13:32:48,2017-01-01 14:14:14,2486,Lake Shore Dr & Monroe St,Indiana Ave & Roosevelt Rd,Customer,,
2017-01-01 13:32:57,2017-01-01 13:37:02,245,Kingsbury St & Kinzie St,Canal St & Madison St,Subscriber,Male,1982.0
2017-01-01 13:33:07,2017-01-01 13:49:55,1008,Franklin St & Monroe St,State St & Randolph St,Customer,,
2017-01-01 13:33:08,2017-01-01 13:38:21,313,Clark St & Winnemac Ave,Broadway & Argyle St,Subscriber,Male,1986.0
2017-01-01 13:33:08,2017-01-01 13:38:21,313,Clark St & Winnemac Ave,Broadway & Argyle St,Subscriber,Female,1987.0
2017-01-01 13:33:13,2017-01-01 13:42:36,563,Cuyler Ave & Augusta St,Central Ave & Chicago Ave,Subscriber,Male,1952.0
2017-01-01 13:33:13,2017-01-01 13:49:55,1002,Franklin St & Monroe St,State St & Randolph St,Customer,,
2017-01-01 13:33:14,2017-01-01 13:38:00,286,Clark St & Chicago Ave,Orleans St & Elm St (*),Subscriber,Male,1986.0
2017-01-01 13:33:18,2017-01-01 14:11:18,2280,Lake Shore Dr & Monroe St,Lake Shore Dr & Monroe St,Customer,,
2017-01-01 13:33:18,2017-01-01 14:53:06,4788,Wabash Ave & Roosevelt Rd,Wabash Ave & Roosevelt Rd,Subscriber,Female,1993.0
2017-01-01 13:33:25,2017-01-01 16:27:05,10420,Rush St & Superior St,Rush St & Cedar St,Customer,,
2017-01-01 13:33:45,2017-01-01 14:07:06,2001,Lake Shore Dr & Monroe St,Lake Shore Dr & Monroe St,Customer,,
